term_str,n,rank,p,i
matter,476,333,0.00032045844408000153,11.60757509417735
order,475,334,0.0003197852120546234,11.610609154266982
condition,473,335,0.00031843874800386706,11.616696484145898
face,471,336,0.00031709228395311075,11.62280960787251
live,470,337,0.0003164190519277326,11.625875910920293
washington,470,337,0.0003164190519277326,11.625875910920293
leave,468,339,0.0003150725878769763,11.632028137901887
interest,468,339,0.0003150725878769763,11.632028137901887
eyes,468,339,0.0003150725878769763,11.632028137901887
kept,468,339,0.0003150725878769763,11.632028137901887
england,467,343,0.0003143993558515981,11.63511411777563
town,466,344,0.00031372612382621996,11.638206712831012
tuskegee,465,345,0.0003130528918008418,11.6413059514899
remember,465,345,0.0003130528918008418,11.6413059514899
became,463,347,0.0003117064277500855,11.647524474225056
till,463,347,0.0003117064277500855,11.647524474225056
able,461,349,0.0003103599636993292,11.653769917055955
set,459,350,0.00030901349964857286,11.660042514071485
freedom,452,351,0.0003043008754709258,11.682213895070104
whose,450,352,0.0003029544114201695,11.688611666268255
between,450,352,0.0003029544114201695,11.688611666268255
hard,450,352,0.0003029544114201695,11.688611666268255
negroes,449,355,0.00030228117939479134,11.691821222744146
together,446,356,0.00030026148331865687,11.701492957564987
dr,444,357,0.00029891501926790056,11.707976991135187
education,441,358,0.0002968953231917661,11.717758011927772
public,437,359,0.0002942023950902535,11.730903387984693
meetings,434,360,0.00029218269901411904,11.740841625040813
de,433,361,0.0002915094669887409,11.744169642758568
hope,431,362,0.00029016300293798457,11.750848798396195
pay,431,362,0.00029016300293798457,11.750848798396195
prayed,430,364,0.0002894897709126064,11.754200007895832
visit,429,365,0.00028881653888722825,11.757559019985747
known,428,366,0.0002881433068618501,11.760925871084146
turned,424,367,0.00028545037876033747,11.774472402922093
president,423,368,0.0002847771467349593,11.777879004365342
keep,423,368,0.0002847771467349593,11.777879004365342
stood,422,370,0.00028410391470958115,11.781293668778106
nor,422,370,0.00028410391470958115,11.781293668778106
does,420,372,0.00028275745065882484,11.78814733981917
case,420,372,0.00028275745065882484,11.78814733981917
hold,417,374,0.0002807377545826904,11.79848928404063
gentleman,417,374,0.0002807377545826904,11.79848928404063
oclock,416,376,0.00028006452255731226,11.8019531393442
jesus,413,377,0.0002780448264811778,11.812394886065848
door,413,377,0.0002780448264811778,11.812394886065848
side,412,379,0.00027737159445579963,11.815892330302074
rest,410,380,0.0002760251304050433,11.822912757979847
persons,409,381,0.00027535189837966516,11.826435824543543
glad,408,382,0.000274678666354287,11.829967515513797
means,408,382,0.000274678666354287,11.829967515513797
started,407,384,0.00027400543432890885,11.833507873219045
ten,405,385,0.00027265897027815253,11.840614759713306
prayer,405,385,0.00027265897027815253,11.840614759713306
child,402,387,0.00027063927420201806,11.851341166306364
lady,401,388,0.0002699660421766399,11.854934431030372
o,399,389,0.00026861957812588364,11.862147921262947
boy,399,389,0.00026861957812588364,11.862147921262947
street,399,389,0.00026861957812588364,11.862147921262947
light,397,392,0.00026727311407512733,11.869397660342335
southern,395,393,0.000265926650024371,11.876684014420826
duty,394,394,0.00026525341799899286,11.880341038028917
c,394,394,0.00026525341799899286,11.880341038028917
high,392,396,0.00026390695394823654,11.887683013370085
canada,391,397,0.0002632337219228584,11.89136806017794
learned,389,398,0.00026188725787210207,11.898766512499101
service,386,399,0.0002598675617959676,11.909935820217212
sometimes,380,400,0.00025582816964369866,11.932537249154345
letter,379,401,0.00025515493761832055,11.9363388193142
evening,378,402,0.0002544817055929424,11.94015043326422
six,378,402,0.0002544817055929424,11.94015043326422
call,376,404,0.0002531352415421861,11.947804005807654
law,376,404,0.0002531352415421861,11.947804005807654
care,375,406,0.0002524620095168079,11.951646072102049
rather,375,406,0.0002524620095168079,11.951646072102049
uncle,374,408,0.00025178877749142977,11.955498397597655
york,373,409,0.0002511155454660516,11.959361037230055
thousand,370,410,0.00024909584938991714,11.97101139696898
tried,370,410,0.00024909584938991714,11.97101139696898
purpose,370,410,0.00024909584938991714,11.97101139696898
students,370,410,0.00024909584938991714,11.97101139696898
return,369,414,0.000248422617364539,11.974915851424896
ready,369,414,0.000248422617364539,11.974915851424896
different,368,416,0.0002477493853391608,11.97883090142828
returned,367,417,0.00024707615331378267,11.982756604642079
boys,366,418,0.0002464029212884045,11.98669301920125
coming,366,418,0.0002464029212884045,11.98669301920125
government,365,420,0.00024572968926302635,11.990640203717913
along,365,420,0.00024572968926302635,11.990640203717913
institution,363,422,0.00024438322521227004,11.998567119489541
months,360,423,0.0002423635291361356,12.010539761155618
position,359,424,0.00024169029711075744,12.01455282366224
beautiful,359,424,0.00024169029711075744,12.01455282366224
faith,355,426,0.00023899736900924483,12.030717643093247
water,355,426,0.00023899736900924483,12.030717643093247
spoke,355,426,0.00023899736900924483,12.030717643093247
use,354,429,0.00023832413698386668,12.034787307402295
ladies,354,429,0.00023832413698386668,12.034787307402295
blood,354,429,0.00023832413698386668,12.034787307402295
manner,353,432,0.00023765090495848852,12.038868484214111
methodist,353,432,0.00023765090495848852,12.038868484214111
cadet,353,432,0.00023765090495848852,12.038868484214111
character,352,435,0.00023697767293311036,12.042961238847996
feeling,352,435,0.00023697767293311036,12.042961238847996
small,351,437,0.0002363044409077322,12.047065637180731
sold,351,437,0.0002363044409077322,12.047065637180731
subject,349,439,0.0002349579768569759,12.05530963127564
doing,349,439,0.0002349579768569759,12.05530963127564
reached,346,441,0.00023293828078084142,12.067764629848568
second,345,442,0.0002322650487554633,12.07194030581976
half,343,443,0.00023091858470470697,12.080328091312479
ask,342,444,0.00023024535267932882,12.084540342599395
american,342,444,0.00023024535267932882,12.084540342599395
experience,342,444,0.00023024535267932882,12.084540342599395
need,340,447,0.0002288988886285725,12.093001921347591
preach,339,448,0.00022822565660319435,12.097251394348948
river,339,448,0.00022822565660319435,12.097251394348948
sir,339,448,0.00022822565660319435,12.097251394348948
indeed,338,451,0.0002275524245778162,12.101513421203109
color,337,452,0.00022687919255243803,12.105788076303433
opportunity,335,453,0.00022553272850168174,12.114375572140158
talk,334,454,0.0002248594964763036,12.11868856501124
coloured,333,455,0.00022418626445092543,12.12301449041403
feet,333,455,0.00022418626445092543,12.12301449041403
following,331,457,0.00022283980040016912,12.131705450678075
christ,331,457,0.00022283980040016912,12.131705450678075
getting,329,459,0.0002214933363494128,12.14044908375005
husband,329,459,0.0002214933363494128,12.14044908375005
alone,329,459,0.0002214933363494128,12.14044908375005
j,329,459,0.0002214933363494128,12.14044908375005
become,328,463,0.00022082010432403464,12.144840852867208
replied,328,463,0.00022082010432403464,12.144840852867208
question,328,463,0.00022082010432403464,12.144840852867208
end,326,466,0.00021947364027327836,12.153664703254215
boston,324,467,0.00021812717622252204,12.162542854600668
within,323,468,0.00021745394419714388,12.167002502791368
strong,322,469,0.00021678071217176573,12.171475979370674
mission,321,470,0.00021610748014638757,12.17596337036299
week,319,471,0.00021476101609563126,12.184980243720423
united,318,472,0.0002140877840702531,12.189509902200937
living,318,472,0.0002140877840702531,12.189509902200937
bring,318,472,0.0002140877840702531,12.189509902200937
nearly,317,475,0.00021341455204487494,12.194053827345884
doctor,317,475,0.00021341455204487494,12.194053827345884
members,317,475,0.00021341455204487494,12.194053827345884
making,316,478,0.0002127413200194968,12.19861210930819
w,316,478,0.0002127413200194968,12.19861210930819
close,315,480,0.00021206808799411865,12.203184839098013
moment,315,480,0.00021206808799411865,12.203184839098013
address,315,480,0.00021206808799411865,12.203184839098013
french,313,483,0.00021072162394336234,12.212374010552674
hour,313,483,0.00021072162394336234,12.212374010552674
meet,311,485,0.00020937515989260603,12.22162208735469
person,310,486,0.00020870192786722787,12.226268452211055
son,309,487,0.0002080286958418497,12.230929829580917
stand,309,487,0.0002080286958418497,12.230929829580917
short,309,487,0.0002080286958418497,12.230929829580917
carried,308,490,0.00020735546381647155,12.23560631679039
possible,307,491,0.0002066822317910934,12.240298012115113
voice,306,492,0.00020600899976571527,12.24500501479264
liberty,306,492,0.00020600899976571527,12.24500501479264
happy,304,494,0.00020466253571495895,12.254465344041707
stay,304,494,0.00020466253571495895,12.254465344041707
saying,303,496,0.0002039893036895808,12.25921887401234
lost,303,496,0.0002039893036895808,12.25921887401234
board,302,498,0.00020331607166420264,12.263988118160214
gentlemen,302,498,0.00020331607166420264,12.263988118160214
history,301,500,0.00020264283963882448,12.26877318072559
ll,301,500,0.00020264283963882448,12.26877318072559
praise,300,502,0.00020196960761344632,12.27357416698941
peace,299,503,0.00020129637558806817,12.278391183287187
therefore,299,503,0.00020129637558806817,12.278391183287187
open,298,505,0.00020062314356269,12.28322433702313
brethren,298,505,0.00020062314356269,12.28322433702313
everything,297,507,0.00019994991153731188,12.288073736684526
sure,296,508,0.00019927667951193372,12.292939491856343
show,296,508,0.00019927667951193372,12.292939491856343
remained,296,508,0.00019927667951193372,12.292939491856343
looking,296,508,0.00019927667951193372,12.292939491856343
saved,296,508,0.00019927667951193372,12.292939491856343
paid,295,513,0.00019860344748655556,12.297821713236088
especially,295,513,0.00019860344748655556,12.297821713236088
died,294,515,0.0001979302154611774,12.302720512648929
wish,293,516,0.00019725698343579925,12.307636003063044
send,291,517,0.00019591051938504294,12.317517514577009
body,291,517,0.00019591051938504294,12.317517514577009
account,290,519,0.00019523728735966478,12.322483767470358
t,289,520,0.00019456405533428662,12.327467174984614
girl,289,520,0.00019456405533428662,12.327467174984614
early,289,520,0.00019456405533428662,12.327467174984614
weeks,288,523,0.00019389082330890846,12.33246785604298
fire,288,523,0.00019389082330890846,12.33246785604298
ground,287,525,0.00019321759128353033,12.337485930809605
reason,287,525,0.00019321759128353033,12.337485930809605
camp,286,527,0.00019254435925815218,12.342521520706903
whether,285,528,0.00019187112723277402,12.347574748433189
henry,284,529,0.00019119789520739586,12.35264573798061
d,284,529,0.00019119789520739586,12.35264573798061
least,283,531,0.0001905246631820177,12.35773461465341
blessed,283,531,0.0001905246631820177,12.35773461465341
officers,281,533,0.0001891781991312614,12.367966537264365
h,281,533,0.0001891781991312614,12.367966537264365
run,281,533,0.0001891781991312614,12.367966537264365
preached,280,536,0.00018850496710588323,12.373109840540327
english,279,537,0.00018783173508050508,12.378271545656105
america,278,538,0.00018715850305512692,12.383451784761785
sat,277,539,0.0001864852710297488,12.388650691436103
deep,276,540,0.00018581203900437063,12.393868400707124
bed,275,541,0.00018513880697899247,12.39910504907327
finally,273,542,0.00018379234292823616,12.40963571656544
fell,273,542,0.00018379234292823616,12.40963571656544
fear,272,544,0.000183119110902858,12.414930016234953
hall,271,545,0.00018244587887747985,12.420243816131421
fine,269,546,0.00018109941482672353,12.430930494928669
horse,268,547,0.00018042618280134537,12.43630366702752
blessing,268,547,0.00018042618280134537,12.43630366702752
blacks,267,549,0.00017975295077596724,12.441696925797737
less,267,549,0.00017975295077596724,12.441696925797737
earth,267,549,0.00017975295077596724,12.441696925797737
entered,267,549,0.00017975295077596724,12.441696925797737
pastor,266,553,0.0001790797187505891,12.447110421984103
pleasant,265,554,0.00017840648672521093,12.45254430803473
cadets,265,554,0.00017840648672521093,12.45254430803473
society,264,556,0.00017773325469983277,12.45799873812684
idea,264,556,0.00017773325469983277,12.45799873812684
building,264,556,0.00017773325469983277,12.45799873812684
property,264,556,0.00017773325469983277,12.45799873812684
success,263,560,0.00017706002267445461,12.46347386819299
tears,263,560,0.00017706002267445461,12.46347386819299
army,262,562,0.00017638679064907646,12.468969855947842
trouble,262,562,0.00017638679064907646,12.468969855947842
forget,261,564,0.0001757135586236983,12.474486860915407
attention,259,565,0.00017436709457294199,12.485584569798739
